,song_name,artist,album,artist_id,song_id,popularity,explicit,duration,key,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_date,release_year
65,NOW I KNOW,Rema,HEIS,46pWGuE3dSwY3bMMXGBvVS,4Q1kTtOhw3SosBs43un1bu,65,True,3.0,11,0.401,0.599,-6.319,0,0.122,0.125,0.0,0.213,0.676,134.155,2024-07-10,2024
66,My Dealer (Remix),KAESTYLE,My Dealer (Remix),0o4t6y0LBJWs76vvuuzg50,5wKKqwuoee1M9jhFcRpS1D,49,True,2.0,6,0.728,0.629,-7.935,1,0.301,0.541,1.54e-06,0.123,0.824,126.956,2024-08-09,2024
67,Manchester,Seyi Vibez,Loseyi Professor,4zmZ8lVLzGc84S4v2B1rLx,1HDF5JQ4dlT4rontWpQp91,61,False,2.0,9,0.504,0.702,-6.269,0,0.444,0.405,3.7e-06,0.0892,0.478,100.511,2024-07-12,2024
68,Last Last,Burna Boy,"Love, Damini",3wcj11K77LjEY1PkEazffa,4LPNkxES0zCGn6S2Y1vmJN,62,False,3.0,3,0.812,0.563,-4.455,0,0.0887,0.143,0.0,0.0833,0.54,87.979,2022-07-07,2022
69,Way Back,Khaid,444,2mM6BxFQCd6BHzW4W7VhQP,5rOGgvxkgMOn5ZhyLHLDFz,62,True,3.0,1,0.906,0.751,-6.091,0,0.115,0.253,6.9e-05,0.113,0.54,113.006,2024-07-25,2024
70,KANTE (feat. Fave),Davido,Timeless,0Y3agQaa6g2r0YmHPOO9rh,7vKXc90NT5WBm3UTT4iTVG,70,False,3.0,6,0.724,0.809,-5.022,0,0.0929,0.182,0.0,0.0765,0.606,99.005,2023-03-30,2023
71,Albert Einstein,Seyi Vibez,Loseyi Professor,4zmZ8lVLzGc84S4v2B1rLx,5KT7AptabF9UdWZ23dpoaK,61,False,3.0,4,0.767,0.794,-4.935,0,0.0553,0.321,0.000176,0.118,0.461,111.95,2024-07-12,2024
72,Holy Ghost,Omah Lay,Holy Ghost,5yOvAmpIR7hVxiS6Ls5DPO,5vqLQ8nrejrMf591htfM5u,64,False,3.0,5,0.823,0.414,-10.842,0,0.0625,0.469,0.0327,0.129,0.493,113.973,2023-11-10,2023
73,EGUNGUN,Rema,HEIS,46pWGuE3dSwY3bMMXGBvVS,3JYkiSLYFMFhQYIJXcmYsr,42,False,3.0,10,0.737,0.924,-4.413,0,0.0583,0.0875,0.0,0.124,0.6,122.971,2024-07-10,2024
74,Wells Fargo,Vibez Inc,Wells Fargo,2pWvZYqXNfLNIsCkr9Llgy,4ZlXMudBkzL4izYJzY7xBU,61,True,2.0,6,0.413,0.861,-7.101,1,0.0843,0.0689,0.0,0.138,0.468,85.3,2024-05-01,2024
75,IDK (feat. Zlatan),Wizkid,S2,3tVQdUvClmAT7URs9V3rsp,5KV5UXd1uNZZafWTudrVft,63,False,3.0,10,0.584,0.747,-4.726,0,0.258,0.105,0.0013,0.149,0.798,98.111,2023-12-21,2023
76,"Synchro System (feat. Pheelz, Young Jonn & Lil Kesh)",Olamide,"Ikigai / 生き甲斐, Vol. 1",4ovtyvs7j1jSmwhkBGHqSr,4OXlgrOv4FtLuMnuqsI69c,65,True,3.0,11,0.623,0.737,-5.721,0,0.427,0.464,0.0,0.225,0.409,160.817,2024-06-26,2024
77,VILLAIN,Rema,HEIS,46pWGuE3dSwY3bMMXGBvVS,0p87I1Eat0P1R4sdyrgqfM,40,False,3.0,10,0.709,0.801,-4.66,0,0.0467,0.0579,0.0,0.224,0.367,113.937,2024-07-10,2024
78,"Tested, Approved & Trusted",Burna Boy,I Told Them...,3wcj11K77LjEY1PkEazffa,6Z7X86HZWODk0KPVmOsCKR,55,False,4.0,6,0.814,0.482,-9.977,1,0.108,0.16,2.65e-06,0.0881,0.646,92.954,2023-08-24,2023
79,It's Plenty,Burna Boy,"Love, Damini",3wcj11K77LjEY1PkEazffa,3PEkfP69a7aMMb8yI7PD88,58,False,4.0,7,0.77,0.563,-10.615,1,0.0928,0.364,7.9e-05,0.319,0.6,107.027,2022-07-07,2022
80,For My Hand (feat. Ed Sheeran),Burna Boy,"Love, Damini",3wcj11K77LjEY1PkEazffa,4N7AXHRMQYh9GHQd5hE6NP,59,False,3.0,9,0.853,0.471,-7.766,1,0.234,0.18,0.000136,0.207,0.684,104.021,2022-07-07,2022
81,Cana,Seyi Vibez,NAHAMciaga,4zmZ8lVLzGc84S4v2B1rLx,652eb66Jp9rLJ3erEwaCio,63,False,2.0,8,0.545,0.714,-6.77,1,0.145,0.285,0.000371,0.106,0.816,132.839,2023-12-08,2023
82,Omemma - Live,Chandler Moore,Chandler Moore: Live in Los Angeles,6y7frW1RUq3XBBXbYowVpk,7IsfOkZyazuFl8CCTbOZ59,55,False,11.0,8,0.523,0.842,-5.366,0,0.0783,0.0359,9.59e-06,0.321,0.572,117.404,2024-08-02,2024
83,Organise,Asake,Mr. Money With The Vibe,3a1tBryiczPAZpgoZN9Rzg,2wgvxtggKVzPkl0smF2UzI,68,False,2.0,9,0.779,0.79,-6.246,0,0.0612,0.0691,2.24e-05,0.506,0.484,113.064,2022-09-07,2022
84,FEEL,Davido,Timeless,0Y3agQaa6g2r0YmHPOO9rh,1mk8ZC9OeTZMr8Wy31LqRj,68,False,3.0,2,0.837,0.831,-6.21,1,0.08,0.0923,0.176,0.0819,0.529,111.978,2023-03-30,2023
85,Lonely At The Top,Asake,Work Of Art,3a1tBryiczPAZpgoZN9Rzg,5ZtK8XAVnoaGdBXZWCEVCY,74,False,3.0,6,0.778,0.801,-7.326,0,0.106,0.692,0.000155,0.0912,0.914,104.986,2023-06-15,2023
